,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,按讚數,食材種類,烹飪步驟,url
30,1302,楊桃,糖醋里肌肉飯,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn080-019a_1.jpg,,,2,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2574
31,1340,楊桃,匈牙利牛肉義大利麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk48-034_1.jpg,,,2,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-127
32,1341,楊桃,青椒炒肉絲(2),https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-043b_1.jpg,,,0,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1636
33,1354,楊桃,糖醋排骨(12),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn072-017_1.jpg,,,2,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2546
34,1377,楊桃,咕咾肉(6),https://d3l76hx23vw40a.cloudfront.net/recipe/gy47-033_1.jpg,,,22,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1738
35,1415,楊桃,黑胡椒雞柳,https://d3l76hx23vw40a.cloudfront.net/recipe/gy20-024_1.jpg,,,1,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1048
36,1431,楊桃,宮保雞丁燴飯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk34-034_1.jpg,,,2,16,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-338
37,1470,楊桃,豉椒炒牛肉(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk153-017_1.jpg,,,0,17,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0688
38,1472,楊桃,糖醋排骨酥,https://d3l76hx23vw40a.cloudfront.net/recipe/hq11-013_1.jpg,,,6,17,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-480
39,1563,楊桃,彩椒豆薯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk172-021b_1.jpg,,,0,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0944
40,1626,楊桃,青椒炒豆干條,https://d3l76hx23vw40a.cloudfront.net/recipe/bk129-040a_1.jpg,,,2,15,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-0087
41,1655,楊桃,咕咾肉(9),https://d3l76hx23vw40a.cloudfront.net/recipe/whk065-037_1.jpg,,,6,13,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2904
42,1672,楊桃,竹筍炒肉絲,https://d3l76hx23vw40a.cloudfront.net/recipe/bk117-026a_1.jpg,,,0,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0576
43,1691,楊桃,糖醋豆腸,https://d3l76hx23vw40a.cloudfront.net/recipe/bk216-018a_1.jpg,,,2,11,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-0212
44,1749,楊桃,彩椒炒百合,https://d3l76hx23vw40a.cloudfront.net/recipe/bk165-013_1.jpg,,,2,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0904
45,1861,楊桃,青椒牛肉炒飯(3),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn32-025_1.jpg,,,0,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0843
46,1872,楊桃,銀芽炒雞絲,https://d3l76hx23vw40a.cloudfront.net/recipe/bk119-035a_1.jpg,,,2,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0602
47,1932,楊桃,糖醋豆腐,https://d3l76hx23vw40a.cloudfront.net/recipe/gy01-088_1.jpg,,,1,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0222
48,1966,楊桃,糖醋排骨(9),https://d3l76hx23vw40a.cloudfront.net/recipe/gy47-031_1.jpg,,,1,18,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1736
49,1967,楊桃,青椒皮蛋豆腐,https://d3l76hx23vw40a.cloudfront.net/recipe/m674_1.jpg,,,1,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0413
50,2011,楊桃,糖醋旗魚丁,https://d3l76hx23vw40a.cloudfront.net/recipe/bk137-013_1.jpg,,,0,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-0878
51,2063,楊桃,茄汁燒魚(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn077-014_1.jpg,,,1,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1446
52,2091,楊桃,豉椒排骨炒麵,https://d3l76hx23vw40a.cloudfront.net/recipe/ck36-013_1.jpg,,,0,13,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-702
53,2158,楊桃,黑胡椒豬排,https://d3l76hx23vw40a.cloudfront.net/recipe/bk96-020_1.jpg,,,4,10,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-656
54,2284,楊桃,糖醋里肌(7),https://d3l76hx23vw40a.cloudfront.net/recipe/bk196-013_1.jpg,,,0,10,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2338
