,index,Website,按讚數,烹飪時間,食譜名稱,url,圖片連結,食材種類,營養資訊,烹飪步驟,有無影片
28,1099,楊桃,0,,乾扁四季豆,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F05-029,https://d3l76hx23vw40a.cloudfront.net/recipe/bk56-044b_1.jpg,11.0,,5.0,
29,1100,楊桃,0,,雪菜炒肉絲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1819,https://d3l76hx23vw40a.cloudfront.net/recipe/gy55-034a_1.jpg,11.0,,4.0,
30,1131,楊桃,2,,水晶肉凍,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2332,https://d3l76hx23vw40a.cloudfront.net/recipe/bk176-012_1.jpg,13.0,,4.0,
31,1180,楊桃,2,,四季豆炒肉絲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F05-0351,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-041b_1.jpg,9.0,,3.0,
32,1190,楊桃,6,,洋蔥炒鹹豬肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1841,https://d3l76hx23vw40a.cloudfront.net/recipe/gy61-025_1.jpg,9.0,,4.0,
33,1209,楊桃,1,,沙茶肉片炒泡麵,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2174,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn47-020b_1.jpg,6.0,,2.0,
34,1234,楊桃,1,,什錦炒麵(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1575,https://d3l76hx23vw40a.cloudfront.net/recipe/gy33-014_1.jpg,15.0,,3.0,
35,1265,楊桃,2,,肉絲炒米粉(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1992,https://d3l76hx23vw40a.cloudfront.net/recipe/bk182-047_1.jpg,13.0,,3.0,
36,1288,楊桃,2,,枸杞麻油松阪豬,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2600,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn082-027_1.jpg,7.0,,4.0,
37,1316,楊桃,1,,魚香肉絲(2),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1991,https://d3l76hx23vw40a.cloudfront.net/recipe/bk188-011_1.jpg,14.0,,4.0,
38,1427,楊桃,1,,木須炒蛋(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F06-0297,https://d3l76hx23vw40a.cloudfront.net/recipe/bk186-015_1.jpg,12.0,,5.0,
39,1440,楊桃,3,,櫻花蝦米糕(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-0755,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn58-026a_1.jpg,13.0,,4.0,
40,1483,楊桃,1,,貴妃牛肉燥,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-354,https://d3l76hx23vw40a.cloudfront.net/recipe/bk95-021_1.jpg,10.0,,4.0,
41,1530,楊桃,1,,劍筍炒肉絲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0883,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-017b_1.jpg,10.0,,2.0,
42,1545,楊桃,0,,長豆炒肉絲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F05-0352,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-045b_1.jpg,8.0,,3.0,
43,1549,楊桃,2,,冬瓜滷豬肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2269,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn60-016_1.jpg,9.0,,3.0,
44,1552,楊桃,0,,豆漿火鍋,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1212,https://d3l76hx23vw40a.cloudfront.net/recipe/bk131-023_1.jpg,11.0,,3.0,
45,1555,楊桃,1,,龍鬚菜炒肉絲(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0703,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn44-037_1.jpg,7.0,,2.0,
