,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
29,654,楊桃,五花肉滷高麗菜乾,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn04-038_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0298,9
30,705,楊桃,蔬菜米蛋餅,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn32-039_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0557,4
31,750,楊桃,健康蔬菜粥,https://d3l76hx23vw40a.cloudfront.net/recipe/hq26-021_1.jpg,,,,10,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-159,0
32,755,楊桃,高麗菜乾泡菜,https://d3l76hx23vw40a.cloudfront.net/recipe/kimchi-611_1.jpg,,,,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-030,0
33,769,楊桃,醬爆高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk182-032a_1.jpg,,,,9,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0654,1
34,776,楊桃,高麗菜包,https://d3l76hx23vw40a.cloudfront.net/recipe/bk190-014_1.jpg,,,,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0675,1
35,906,楊桃,潤餅卷,https://d3l76hx23vw40a.cloudfront.net/recipe/gy67-017a_1.jpg,,,,15,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1852,2
36,933,楊桃,台式泡菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk87-027b_1.jpg,,,,6,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-162,14
37,954,楊桃,香腸高麗菜炒飯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk148-042a_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1473,1
38,984,楊桃,肉絲炒米粉,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn29-057b_1.jpg,,,,17,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1533,3
39,1016,楊桃,蔬菜鹹粥,https://d3l76hx23vw40a.cloudfront.net/recipe/bk148-018_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0479,3
40,1065,楊桃,苦茶油麵線,https://d3l76hx23vw40a.cloudfront.net/recipe/bk132-045_1.jpg,,,,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0388,15
41,1094,楊桃,水餃,https://d3l76hx23vw40a.cloudfront.net/recipe/yb32-026_1.jpg,,,,13,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-0976,16
42,1124,楊桃,福袋圓滿,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn35-038_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2016,15
43,1157,楊桃,義式蔬菜湯,https://d3l76hx23vw40a.cloudfront.net/recipe/gy61-077a_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1023,0
44,1168,楊桃,燉高麗菜封,https://d3l76hx23vw40a.cloudfront.net/recipe/bk138-039_1.jpg,,,,10,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0417,8
45,1259,楊桃,椒麻雞(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk153-010_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1037,4
46,1265,楊桃,肉絲炒米粉(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk182-047_1.jpg,,,,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1992,2
47,1292,楊桃,春捲,https://d3l76hx23vw40a.cloudfront.net/recipe/bk72-030_1.jpg,,,,19,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-523,0
48,1414,楊桃,關東煮,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn09-042_1.jpg,,,,11,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0647,4
49,1416,楊桃,涼拌鮮美洋蔥,https://d3l76hx23vw40a.cloudfront.net/recipe/m927_1.jpg,,,,9,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1234,0
50,1435,楊桃,高麗菜泡菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk68-017_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-111,1
51,1461,楊桃,麻辣臭臭鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/bk103-021_1.jpg,,,,15,9,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-135,0
52,1465,楊桃,餡烤高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/gy57-052_1.jpg,,,,7,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0583,12
53,1473,楊桃,高麗菜水煎包餡料,https://d3l76hx23vw40a.cloudfront.net/recipe/hq13-010_1.jpg,,,,5,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-151,1
54,1492,楊桃,蔬菜小丸子,https://d3l76hx23vw40a.cloudfront.net/recipe/whk058-047b_1.jpg,,,,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0808,5
55,1524,楊桃,紅蘿蔔吻魚菜飯,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn49-018a_1.jpg,,,,5,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1279,0
56,1527,楊桃,精力蔬菜湯,https://d3l76hx23vw40a.cloudfront.net/recipe/gg23-012_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0448,4
57,1606,楊桃,高麗菜炒櫻花蝦,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn44-035_1.jpg,,,,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0697,0
58,1618,楊桃,清炒高麗菜(2),https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-030c_1.jpg,,,,5,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0523,0
59,1684,楊桃,高雄黑輪,https://d3l76hx23vw40a.cloudfront.net/recipe/bk51-037a_1.jpg,,,,20,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=I02-061,0
60,1704,楊桃,冬菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk134-029a_1.jpg,,,,4,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0398,1
61,1767,楊桃,羅宋湯(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk53-036a_1.jpg,,,,13,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-170,1
62,1852,楊桃,高麗菜酸魚湯,https://d3l76hx23vw40a.cloudfront.net/recipe/gy45-067_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1080,149
63,1870,楊桃,蔬菜高湯(2),https://d3l76hx23vw40a.cloudfront.net/recipe/ck93-010_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0781,16
64,1911,楊桃,大腸臭臭鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn09-013_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1184,3
65,1916,楊桃,台式泡菜(12),https://d3l76hx23vw40a.cloudfront.net/recipe/bk172-022_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0550,8
66,1919,楊桃,高麗菜炒牛肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk125-029_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0550,0
67,1976,楊桃,高麗菜煎餅(1),https://d3l76hx23vw40a.cloudfront.net/recipe/whk102-046b_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-1023,8
68,2022,楊桃,腐乳高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk164-047b_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0539,0
69,2037,楊桃,菜肉包,https://d3l76hx23vw40a.cloudfront.net/recipe/bk190-011_1.jpg,,,,12,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0674,3
